task_title,task_description,priority
Добавление комментариев в функции,Дополнить модули поясняющими комментариями.,0.08
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.61
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.42
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.84
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.85
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.22
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.59
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.58
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.3
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.07
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.72
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.41
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.96
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.32
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.33
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.09
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.13
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.31
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.37
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.7
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.98
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.57
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.83
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.63
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.26
Обновление внутренней документации,Обновить описание API в Confluence.,0.19
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.54
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.51
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.31
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.77
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.98
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.73
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.17
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.98
Добавление комментариев в функции,Дополнить модули поясняющими комментариями.,0.19
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.83
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.73
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.94
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.8
Обновление внутренней документации,Обновить описание API в Confluence.,0.02
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.76
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.74
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.36
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.14
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.23
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.64
Обновление README,Уточнить инструкции по запуску проекта.,0.06
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.52
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.42
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.74
Обновление README,Уточнить инструкции по запуску проекта.,0.17
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.02
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.17
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.48
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.92
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.27
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.9
Добавление комментариев в программу,Дополнить модули поясняющими комментариями.,0.02
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.94
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.14
Очистка устаревшего программуа,Провести рефакторинг старых функций без изменения логики.,0.19
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.87
Обновление README,Уточнить инструкции по запуску проекта.,0.13
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.51
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.34
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.35
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.88
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.85
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.46
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.77
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.61
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.74
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.32
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.66
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.28
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.45
Обновление внутренней документации,Обновить описание API в Confluence.,0.17
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.53
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.63
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.97
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.92
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.43
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.63
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.99
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.55
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.87
Обновление внутренней документации,Обновить описание API в Confluence.,0.04
Обновление README,Уточнить инструкции по запуску проекта.,0.12
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.64
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.99
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.53
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.86
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.94
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.65
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.24
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.54
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.28
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.19
Обновление README,Уточнить инструкции по запуску проекта.,0.02
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.35
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Обновление README,Уточнить инструкции по запуску проекта.,0.17
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.59
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.8
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.15
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.69
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.89
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.31
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.34
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.83
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.02
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.27
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.27
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.38
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.89
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.28
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.64
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.79
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.61
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.85
Обновление README,Уточнить инструкции по запуску проекта.,0.19
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.58
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.37
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.26
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.62
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.78
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.4
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.26
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.59
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.0
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.18
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.89
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.87
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.98
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.39
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.42
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.39
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.3
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.97
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.45
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Очистка устаревшего функцииа,Провести рефакторинг старых функций без изменения логики.,0.09
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.56
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.89
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.6
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.56
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.63
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.89
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.24
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.6
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.64
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.33
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.48
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.45
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.72
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.26
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.27
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.86
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.57
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.67
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.29
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.4
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.47
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.24
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.93
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.25
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.37
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.35
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.38
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.63
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.33
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.86
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.95
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.9
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.73
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.66
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.15
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.88
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Настройка CI/CD,Подключить автоматическую сборку и деплой.,0.73
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.38
Обновление README,Уточнить инструкции по запуску проекта.,0.01
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.3
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.68
Обновление внутренней документации,Обновить описание API в Confluence.,0.02
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.43
Обновление README,Уточнить инструкции по запуску проекта.,0.07
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.41
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.11
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.6
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.7
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.76
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.47
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.49
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.75
Обновление README,Уточнить инструкции по запуску проекта.,0.17
Очистка устаревшего программуа,Провести рефакторинг старых функций без изменения логики.,0.04
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.36
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.35
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.74
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.89
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.45
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.57
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.49
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.79
Настройка логирования,Добавить логирование ошибок и действий пользователя.,0.38
Обновление README,Уточнить инструкции по запуску проекта.,0.16
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.23
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.25
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.75
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.76
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.31
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.58
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.84
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.28
Обновление внутренней документации,Обновить описание API в Confluence.,0.13
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.67
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.63
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.79
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.58
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.69
Оптимизация скорости загрузки,В ближайшее время нужно ускорить рендер главной страницы.,0.92
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.39
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.69
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.64
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.06
Доработка перед релизом,Необходимо срочно завершить ключевой функционал перед выпуском версии.,0.82
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.59
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.42
Интеграция с внешним API,Подключить REST API внешнего сервиса в фоновом режиме.,0.38
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Добавление комментариев в функции,Дополнить модули поясняющими комментариями.,0.1
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.17
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.79
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.63
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.28
Обновление README,Уточнить инструкции по запуску проекта.,0.09
Добавление комментариев в модули,Дополнить модули поясняющими комментариями.,0.03
Обновление внутренней документации,Обновить описание API в Confluence.,0.11
Обновление README,Уточнить инструкции по запуску проекта.,0.06
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.24
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.49
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.6
Согласование внутренних стандартов,Обсудить и обновить код-стайл.,0.34
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.22
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.47
Реализация модуля аутентификации,"Реализовать регистрацию, вход и проверку токенов.",0.73
Создание черновика плана задач,Сформировать предварительный план на следующий спринт.,0.25
Разработка утилиты для импорта данных,Создать CLI-скрипт для загрузки CSV в БД.,0.38
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.48
Редактирование стиля программуа,Применить линтер ко всем модулям проекта.,0.01
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.12
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.46
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.66
Обновление внутренней документации,Обновить описание API в Confluence.,0.02
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.29
Создание юнит-тестов,Покрыть модуль авторизации тестами.,0.49
Срочное исправление критического бага,Ошибка в продакшене вызывает падение сервиса — устранить немедленно.,0.95
Добавление комментариев в код,Дополнить модули поясняющими комментариями.,0.14
Интеграция системы оплаты,Крайне важно подключить и протестировать платёжный шлюз.,0.8
Очистка устаревшего кода,Провести рефакторинг старых функций без изменения логики.,0.19
Очистка устаревшего программуа,Провести рефакторинг старых функций без изменения логики.,0.02
Добавление комментариев в функции,Дополнить модули поясняющими комментариями.,0.14
Оптимизация алгоритма сортировки,Ускорить функцию сортировки в модуле отчетов.,0.38
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.22
Редактирование стиля кода,Применить линтер ко всем модулям проекта.,0.07
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.59
Обновление схемы БД,Внести незначительные изменения в структуру таблиц.,0.23
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.57
Редактирование стиля модулиа,Применить линтер ко всем модулям проекта.,0.03
Подготовка к демонстрации заказчику,Необходимо в кратчайшие сроки привести прототип в презентабельный вид.,0.77
Написание инструкции по сборке,Описать шаги для локального развертывания приложения.,0.27
Разработка функционала загрузки файлов,Пользователь должен иметь возможность загружать файлы.,0.59
Ревью архитектуры проекта,Проанализировать архитектуру перед масштабированием.,0.61
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.7
Подготовка списка изменений,Составить список доработок для ближайшего релиза.,0.22
Формирование плана релиза,Определить задачи и дедлайны ближайшего релиза.,0.69
Очистка устаревшего модулиа,Провести рефакторинг старых функций без изменения логики.,0.09
